"","date","m1","m2","m3","m6","pfs12","y1","y2","y3","y4","y5"
"1",1961-01-01,1.9272,2.1828,2.286,2.55,"0.1346",2.783,3.134,3.365,3.595,3.632
"2",1961-02-01,2.4444,2.5284,2.628,2.8428,"-0.3416",2.974,3.102,3.311,3.463,3.488
"3",1961-03-01,2.1552,2.2644,2.424,2.6208,"-0.0524",2.896,2.91,3.147,3.276,3.442
"4",1961-04-01,1.902,2.1216,2.2356,2.406,"0.2444",2.872,3.053,3.211,3.118,3.346
"5",1961-05-01,2.262,2.3256,2.3676,2.6112,"-0.0492",2.929,3.21,3.42,3.248,3.538
"6",1961-06-01,2.0892,2.2128,2.2764,2.4468,"0.1261",2.998,3.257,3.513,3.628,3.628
"7",1961-07-01,1.5972,2.1216,2.2764,2.5284,"0.6875",2.89,3.155,3.628,3.63,3.638
"8",1961-08-01,1.9776,2.1828,2.3784,2.6988,"0.3946",3.048,3.253,3.628,3.803,3.662
"9",1961-09-01,1.9008,2.1828,2.256,2.7132,"0.5268",2.977,3.1,3.617,3.639,3.586
"10",1961-10-01,1.9524,2.142,2.3016,2.6364,"0.5387",2.937,3.166,3.503,3.509,3.682
"11",1961-11-01,2.13,2.4468,2.5776,2.832,"0.4068",2.97,3.305,3.618,3.526,3.78
"12",1961-12-01,2.4036,2.64,2.6892,2.9556,"0.1586",3.109,3.384,3.705,3.727,3.849
"13",1962-01-01,2.4192,2.6508,2.7612,2.9868,"0.1887",3.292,3.497,3.802,3.875,3.954
"14",1962-02-01,2.4444,2.6916,2.7408,2.94,"0.2007",3.135,3.246,3.472,3.591,3.705
"15",1962-03-01,2.6784,2.748,2.7864,2.9292,"-0.0028",2.887,3.145,3.322,3.511,3.58
"16",1962-04-01,2.6988,2.7216,2.7564,2.8824,"-0.0088",3.006,3.275,3.364,3.576,3.605
"17",1962-05-01,2.292,2.6868,2.73,2.8212,"0.4111",2.943,3.166,3.321,3.52,3.578
"18",1962-06-01,2.922,2.9304,2.9388,2.9808,"-0.1758",3.071,3.377,3.481,3.61,3.652
"19",1962-07-01,2.6472,2.7624,2.8932,3.0888,"0.1041",3.308,3.435,3.545,3.645,3.723
"20",1962-08-01,2.6424,2.7216,2.8476,3.012,"0.1428",3.034,3.164,3.345,3.467,3.538
"21",1962-09-01,2.6628,2.7732,2.7756,2.94,"0.1626",2.963,3.076,3.32,3.464,3.664
"22",1962-10-01,2.5008,2.4876,2.7504,2.8476,"0.3885",2.922,3.09,3.313,3.403,3.615
"23",1962-11-01,2.4348,2.8692,2.898,2.9808,"0.5251",2.922,3.198,3.372,3.428,3.535
"24",1962-12-01,2.952,2.9604,2.9544,3.006,"0.0523",2.978,3.204,3.38,3.409,3.491
"25",1963-01-01,2.8656,2.9448,2.97,3.0372,"0.1828",3.029,3.063,3.398,3.465,3.602
"26",1963-02-01,2.8104,2.9208,2.94,2.9916,"0.2841",2.961,3.108,3.4,3.493,3.651
"27",1963-03-01,2.8512,2.916,2.9496,3.0216,"0.3008",3.027,3.169,3.425,3.613,3.671
"28",1963-04-01,2.856,2.874,2.9496,3.0432,"0.3523",3.099,3.275,3.521,3.639,3.68
"29",1963-05-01,2.8092,3.012,3.0408,3.1296,"0.4372",3.15,3.281,3.55,3.686,3.737
"30",1963-06-01,2.9832,3.0024,3.0312,3.1152,"0.301",3.126,3.279,3.535,3.713,3.771
