stazione_id,data,inquinante,valore
3,2019/01/03,NO2,51
3,2019/01/03,CO_8h,1.2
4,2019/01/03,PM10,29
4,2019/01/03,NO2,139
4,2019/01/03,CO_8h,1.3
4,2019/01/03,C6H6,1.5
5,2019/01/03,NO2,
5,2019/01/03,O3,
2,2019/01/03,SO2,2.5
2,2019/01/03,PM10,20
2,2019/01/03,PM25,16
2,2019/01/03,NO2,50
2,2019/01/03,O3,74
1,2019/01/03,NO2,
2,2019/01/03,C6H6,1.2
6,2019/01/03,PM10,24
6,2019/01/03,PM25,17
6,2019/01/03,NO2,63
6,2019/01/03,CO_8h,1.8
6,2019/01/03,C6H6,1.7
7,2019/01/03,PM10,32
7,2019/01/03,NO2,54
7,2019/01/03,O3,59
8,2019/01/03,NO2,
8,2019/01/03,CO_8h,
8,2019/01/03,C6H6,
1,2019/01/04,NO2,
3,2019/01/04,NO2,107
3,2019/01/04,CO_8h,1.3
4,2019/01/04,PM10,25
4,2019/01/04,NO2,150
4,2019/01/04,CO_8h,1.5
4,2019/01/04,C6H6,2
5,2019/01/04,NO2,
5,2019/01/04,O3,
2,2019/01/04,SO2,5
2,2019/01/04,PM10,19
2,2019/01/04,PM25,12
2,2019/01/04,NO2,84
2,2019/01/04,O3,67
2,2019/01/04,C6H6,1.5
6,2019/01/04,PM10,23
6,2019/01/04,PM25,12
6,2019/01/04,NO2,81
6,2019/01/04,CO_8h,1.7
6,2019/01/04,C6H6,1.8
7,2019/01/04,PM10,21
7,2019/01/04,NO2,82
7,2019/01/04,O3,55
8,2019/01/04,NO2,
8,2019/01/04,CO_8h,
8,2019/01/04,C6H6,
1,2019/01/07,NO2,
3,2019/01/07,NO2,105
3,2019/01/07,CO_8h,1.4
4,2019/01/07,PM10,77
4,2019/01/07,NO2,184
4,2019/01/07,CO_8h,2.2
4,2019/01/07,C6H6,4.3
5,2019/01/07,NO2,
5,2019/01/07,O3,
2,2019/01/07,SO2,7
2,2019/01/07,PM10,68
2,2019/01/07,PM25,57
2,2019/01/07,NO2,98
2,2019/01/07,O3,56
2,2019/01/07,C6H6,4
6,2019/01/07,PM10,75
6,2019/01/07,PM25,56
6,2019/01/07,NO2,120
6,2019/01/07,CO_8h,2.5
6,2019/01/07,C6H6,5
7,2019/01/07,PM10,69
7,2019/01/07,NO2,99
7,2019/01/07,O3,35
8,2019/01/07,NO2,
8,2019/01/07,CO_8h,
8,2019/01/07,C6H6,
1,2019/01/08,NO2,
3,2019/01/08,NO2,150
3,2019/01/08,CO_8h,2.4
4,2019/01/08,PM10,105
4,2019/01/08,NO2,182
4,2019/01/08,CO_8h,2.9
4,2019/01/08,C6H6,5.8
5,2019/01/08,NO2,
5,2019/01/08,O3,
2,2019/01/08,SO2,6
2,2019/01/08,PM10,92
2,2019/01/08,PM25,81
2,2019/01/08,NO2,110
2,2019/01/08,O3,31
2,2019/01/08,C6H6,4.9
6,2019/01/08,PM10,96
6,2019/01/08,PM25,77
6,2019/01/08,NO2,85
6,2019/01/08,CO_8h,2.7
6,2019/01/08,C6H6,5.8
7,2019/01/08,PM10,93
7,2019/01/08,NO2,84
7,2019/01/08,O3,19
8,2019/01/08,NO2,
8,2019/01/08,CO_8h,
8,2019/01/08,C6H6,
1,2019/01/09,NO2,
3,2019/01/09,NO2,79
3,2019/01/09,CO_8h,2.4
4,2019/01/09,PM10,123
4,2019/01/09,NO2,116
4,2019/01/09,CO_8h,2.7
4,2019/01/09,C6H6,5.6
5,2019/01/09,NO2,
5,2019/01/09,O3,
2,2019/01/09,SO2,6
2,2019/01/09,PM10,108
2,2019/01/09,PM25,83
2,2019/01/09,NO2,95
2,2019/01/09,O3,4
2,2019/01/09,C6H6,5.2
6,2019/01/09,PM10,109
6,2019/01/09,PM25,84
6,2019/01/09,NO2,91
6,2019/01/09,CO_8h,2.7
6,2019/01/09,C6H6,5.9
7,2019/01/09,PM10,107
7,2019/01/09,NO2,81
7,2019/01/09,O3,5
8,2019/01/09,NO2,
8,2019/01/09,CO_8h,
8,2019/01/09,C6H6,
1,2019/01/10,NO2,
3,2019/01/10,NO2,98
3,2019/01/10,CO_8h,1.1
4,2019/01/10,PM10,36
4,2019/01/10,NO2,101
4,2019/01/10,CO_8h,1.9
4,2019/01/10,C6H6,1.8
5,2019/01/10,NO2,
5,2019/01/10,O3,
2,2019/01/10,SO2,6
2,2019/01/10,PM10,29
2,2019/01/10,PM25,21
2,2019/01/10,NO2,76
2,2019/01/10,O3,58
2,2019/01/10,C6H6,2
6,2019/01/10,PM10,33
6,2019/01/10,PM25,24
6,2019/01/10,NO2,89
6,2019/01/10,CO_8h,2.2
6,2019/01/10,C6H6,2.5
7,2019/01/10,PM10,34
7,2019/01/10,NO2,73
7,2019/01/10,O3,45
8,2019/01/10,NO2,
8,2019/01/10,CO_8h,
8,2019/01/10,C6H6,
1,2019/01/11,NO2,
3,2019/01/11,NO2,97
3,2019/01/11,CO_8h,1.11
4,2019/01/11,PM10,14
4,2019/01/11,NO2,100
4,2019/01/11,CO_8h,1.1
4,2019/01/11,C6H6,1.7
5,2019/01/11,NO2,
5,2019/01/11,O3,
2,2019/01/11,SO2,5
2,2019/01/11,PM10,20
2,2019/01/11,PM25,11
2,2019/01/11,NO2,80
2,2019/01/11,O3,48
2,2019/01/11,C6H6,1.8
6,2019/01/11,PM10,26
6,2019/01/11,PM25,14
6,2019/01/11,NO2,74
6,2019/01/11,CO_8h,1.9
6,2019/01/11,C6H6,2.7
7,2019/01/11,PM10,20
7,2019/01/11,NO2,85
7,2019/01/11,O3,38
8,2019/01/11,NO2,
8,2019/01/11,CO_8h,
8,2019/01/11,C6H6,
1,2019/01/14,NO2,
3,2019/01/14,NO2,85
3,2019/01/14,CO_8h,1.6
4,2019/01/14,PM10,76
4,2019/01/14,NO2,152
4,2019/01/14,CO_8h,2.3
4,2019/01/14,C6H6,
5,2019/01/14,NO2,
5,2019/01/14,O3,
2,2019/01/14,SO2,6
2,2019/01/14,PM10,73
2,2019/01/14,PM25,60
2,2019/01/14,NO2,88
2,2019/01/14,O3,15
2,2019/01/14,C6H6,4.9
6,2019/01/14,PM10,79
6,2019/01/14,PM25,60
6,2019/01/14,NO2,98
6,2019/01/14,CO_8h,2.9
6,2019/01/14,C6H6,5.1
7,2019/01/14,PM10,68
7,2019/01/14,NO2,76
7,2019/01/14,O3,12
8,2019/01/14,NO2,
8,2019/01/14,CO_8h,
8,2019/01/14,C6H6,
1,2019/01/15,NO2,
3,2019/01/15,NO2,87
3,2019/01/15,CO_8h,1.1
4,2019/01/15,PM10,23
4,2019/01/15,NO2,100
4,2019/01/15,CO_8h,1.7
4,2019/01/15,C6H6,
5,2019/01/15,NO2,
5,2019/01/15,O3,
2,2019/01/15,SO2,6
2,2019/01/15,PM10,17
2,2019/01/15,PM25,10
2,2019/01/15,NO2,71
2,2019/01/15,O3,69
2,2019/01/15,C6H6,1.2
6,2019/01/15,PM10,23
6,2019/01/15,PM25,14
6,2019/01/15,NO2,82
6,2019/01/15,CO_8h,2.8
6,2019/01/15,C6H6,1.9
7,2019/01/15,PM10,25
7,2019/01/15,NO2,63
7,2019/01/15,O3,55
8,2019/01/15,NO2,
8,2019/01/15,CO_8h,
8,2019/01/15,C6H6,
