v1;v2
positive;"When I had problems with the return of the bike, the assistance was very kind, but could not solve the problem quickly nor prevent me from being charged for the rental because I had exceeded half an hour (not because of the route I took carried out, but due to the impossibility of hanging up the bike in 2 different stations). It would be desirable to be able to solve problems more efficiently or at least not to charge the user in the event of a reported malfunction. For the rest, when the service works, it's really practical and useful.	"
positive;"more electric bikes. often even if present they are not available when there are few, why?	"
negative;"pay more attention to stations that very often are without bicycles or full and do not allow their repositioning	"
positive;"essential to insert bikes with child seats	"
positive;"extension completed at train and metro stations not yet served	"
positive;"I would like the number of bikeMi stations to be strengthened even in other areas of the city	"
positive;"Good service ... stations could be increased	"
negative;"Some bikes are too heavy, some have defects in pedaling	"
positive;"Often the piazza castebarco station is not functioning	"
positive;"more bikes in the center starting at 20.00	"
positive;"satisfied	"
positive;"it would be nice to be able to choose the bike - the bikes require more maintenance (brakes, bell and gearbox)	"
positive;"Check that the saddles are better fitted, they are often badly fitted and uncomfortable, thanks.	"
positive;"increased maintenance of the vehicles	"
negative;"the bike is ugly	"
negative;"The rush hour is a dosastes. No bikes are available and when you find them x go to the center x example no they are available place x hang up	"
negative;"The service is useful, convenient, ecological, practical. The distribution of the stations is discreet. However the maintenance of the bikes leaves much to be desired as 3/5 times the bikes present inefficiencies in the use: broken saddle, deflated tires, not working lights (in the dark it is dangerous), electric bicycles often not working, broken mudguards that prevent correct use, broken or crooked wheels, etc ... these are the cases reported by the undersigned.	"
positive;"My life has changed since I have the station near home. It would be useful to have even more stations even in more peripheral areas, so that the service can be used for any movement	"
positive;"very comfortable, poor bikes, customer service available	"
positive;"The service is comfortable but you should do more maintenance and increase the electric bikes	"
positive;"Good service	"
negative;"All very nice but postponed the closing time of the service, the reason why it is suspended at 1.00 am is incomprehensible.	"
negative;"Too often damaged or not perfect bikes	"
negative;"missing rear-view mirror. INDISPENSABLE	"
positive;"often yellow bikes require maintenance.	"
positive;"apart from the fact that there are often bikes that are not adequately maintained and the lack of bikes in some locations, for the rest I would say that it is an excellent service	"
positive;"would be bellom if you extended the bikemi stations also to the immediate periphery (gambara area for example) and if the bicycles were a little lighter. Furthermore, in the city center at 9 am during the week the stations are almost always full. the service is still very useful!	"
positive;"Excellent idea. Only a few stalls near schools and in the Lomellina area are missing	"
positive;"#NAME?	"
positive;"It's a good setivice	"
negative;"the difficulty of parking at some stations has increased considerably. Provide more stays in the busiest stations	"
negative;"Lack of suburban stations (for example Barona and Piazza Negrelli) and at strategic points near the metro, even where there would be space, for example it is incredible that there is a station in Piazza Gerusalemme!	"
negative;"Unfortunately, in the last year the service has deteriorated. Inefficient stalls, broken or malfunctioning bikes. The new yellow bikes have a seat that looks like a comfortable aircraft carrier but suffers the overall attitude of the person that makes the bikes tougher.	"
positive;"very useful but definitely in need of improvement	"
positive;"I am generally very happy. The stations near the university (Cattolica, Bocconi) are unfortunately often full. It would absolutely need more bike paths especially in the south of the cathedral (Duomo - Bocconi connection).	"
positive;"The suggestion would be to be able to take the bikes at any time, in my case the ideal would be from 5:00 onwards, but I believe that other people who depend on public transport would like it, because the metro starts at 6:00 and in certain places you do not go with the tran, at least you do not arrive with them	"
positive;"Not knowing the streets of Milan, I often get lost. Would it be convenient a smartphone holder so I can easily let myself be guided by google maps, or a navigator system integrated to the bicycle handlebar?	"
positive;"Everything is fine, I invite you to evaluate the station crossing Corso Venezia / Via Senato, a point of great traffic, the nearby stations are relatively distant	"
negative;"bad civic-road car and motorcycle education	"
positive;"I am satisfied with the service, I would like there to be a closer monitoring of the presence of both bicycles and free places in the stations, I happened to have to turn 5 stations to leave the bicycle	"
positive;"I am satisfied globally	"
positive;"I find the service quite satisfactory and well set up, as a bike user in Turin for 10 years, I find it difficult to ride a bike in Milan due to the different urban layout of the roads and the more aggressive car traffic. New infrastructures and cycle paths are absolutely necessary, in the wake of cities like Berlin or London.	"
positive;"Very good service. I recommend more maintenance on yellow bikes. Comments: heavy bikes for a woman.	"
negative;"Unfortunately I just missed a train because there were no free bays in Cadorna	"
positive;"Many of the bikes are often heavily damaged by customers of the service due to misuse. It should be possible to check that everyone always makes the best use of the bicycles provided.	"
positive;"Keep the stations open until 2 am	"
negative;"improve the management of broken and unusable bikes	"
positive;"Many times in the morning bikes are not available	"
positive;"more attention to bike maintenance	"
negative;"In the city center at certain times it is difficult to find a place to leave the bike	"
positive;"Overall satisfactory service, useful implementations of stations and parking places, very useful notice of stations not in service i with sms or with luminous columns visible from a distance and immediate possibility of displaying an alternative station directly from the display on the station column	"
positive;"Possibility of use even at night	"
positive;"I want bikes that are light and manageable that drive you with pleasure. These are a pain!	"
positive;"Check the status of the bikes more (eg saddle wheel brakes) and add stations in the areas where they have been removed due to m4 work	"
positive;"More effective cleaning and maintenance program. Possibility to report directly, if the bike has presented operating anomalies.	"
positive;"Special rates for seasonal use.	"
positive;"I have already mentioned the problem to an operator, when the stations are replenished you should leave some free space so that those who took the bike before refueling on the return will have the place to leave it	"
positive;"Okay so, thanks	"
negative;"Great service, but I often have to change the yellow bikes because they work badly	"
negative;"The service is convenient and useful, the stations are frequent but the service should be extended more to the periphery. The bikes are a bit heavy, in particular the latest provisions are too high and the saddle is difficult to adjust	"
negative;"Yellow bikes aren't that great. The app needs to be improved.	"
positive;"Great	"
positive;"I lived in Munich ...	"
negative;"They are too heavy bicycles and often have low maintenance tires and aluminum tires	"
negative;"The service is very nice but the bicycles do not always work (both yellow and red), often taking penalty points that would be attributed not to the user but to the malfunction of your systems	"
positive;"I often preferred to take the bus because the first useful station is 10 minutes from home. I live in Via Lomellina, it would be useful to have a station in Viale Corsica or a class port.	"
negative;"I have already had problems with delivery where the bikes do not appear to have been delivered. Often the toy moves and the nibs work	"
positive;"More cycle paths are needed for safe circulation	"
positive;"Electric bikes to improve drastically. Non-electric bikes: weak change!	"
positive;"I'm excited about it and I think it was a big step forward for Milan	"
positive;"it would take more stations	"
positive;"Do not fill all the positions when doing the tricarica because I could not return my in use	"
positive;"Excellent and fast. Competitive prices. Easy to find. Not always compliant, but still available.	"
positive;"I would like to point out that the change does not work for many bikes	"
positive;"enthusiastic for civic pride, has increased the number of cyclists in the city and therefore also the safety of all (safety by numbers)	"
negative;"I often find no place to leave the bike in the desired location	"
positive;"Great service, yellow bicycles often have problems, some stations would also be needed in the suburbs	"
positive;"use even at night was very convenient	"
positive;"Very valid service. Increase stalls even in the suburbs. More maintenance.	"
negative;"I would like bikes to be serviced more often: I often find them with saddles that dangle, brakes that work badly etc	"
positive;"satisfied	"
positive;"positive	"
positive;"Only points to improve: (1) the possibility to signal when the bikes do not work in order to have more fully functioning bikes and (2) the bikes without time limits, at least on weekends	"
negative;"Many yellow bikes have mechanical problems. In the area of ​​Pallavicino / Nievo / Rossetti the bikemi parking has not been announced	"
negative;"some hardware / software problems, especially when delivered	"
positive;"I would like more coverage of the service (coverage in Viale Monza, at least near Parco Trotter)	"
positive;"FANTASTIC EXCEPT FOR STATIONARY CROWDING	"
positive;"The application has to be improved a lot	"
positive;"Increased maintenance abilities and stalls	"
positive;"revision of e-bike batteries	"
positive;"Overall, everything is fine and for this reason I have been renewing my subscription constantly for 4-5 years. Honestly, it would be a great pleasure to always find bicycles with well-inflated wheels and a functioning gearbox.	"
positive;"improve bicycle maintenance and evolve towards lighter bicycles	"
positive;"Information on waiting for resumption of service when the station is empty or out of service would be welcome	"
positive;"I advise you to improve the maintenance of the brakes and the setting of the march of the bikes, often malfunctioning, the rest is ok and I am happy	"
negative;"The new bikes do not look good because when they are stuck they don't see the small light. The old ones are much better. The news are too heavy!	"
negative;"many are broken	"
positive;"More attention to maintenance	"
negative;"Missing a lock to close the bike if you want to leave the bike furiously from the parking lot without returning it.	"
positive;"The yellow bikes don't work properly most of the times. The free use of the bike should be 1 hour, not 30 minutes. The service should be available 24h / 7, during the night, Bikemi could be an alternative way to get home after the public transports are not running.	"
positive;"Absolutely to improve the redistribution of bicycles in the busiest stations during peak hours. Often there are no bikes available or the stalls are full	"
positive;"e-bike too often not working	"
positive;"Definitely satisfied and grateful	"
positive;"good	"
