review;sentiment
Costruite più piste ciclabili;0
"Maggior manutenzione al parco bici e maggiori piste ciclabili; maggiori controlli delle infrazioni commesse dagli automobilisti soprattutto nei parcheggi in doppia fila che rendono ulteriormente pericoloso l'utilizzo dell biciclette; provate a percorrere Corso Buenos Aires alle 18";1
le marce sono troppo dure. La 1 è troppo molle, la 2 è già troppo dura;-1
migliorare la manutenzione/efficienza delle bicilette;1
Sarebbe auspicabile una più attenta manutenzione (gomme sgonfie, catene rotte, sellini difettosi).;-1
quando si aggancia la bici, spesso da errore e ogni volta devo chiamare per evitare di avere una penalità. Le stazioni spesso sono tutte piene e devo spostarmi per 3-4 stazioni prima di poterkla agganciare;-1
consiglierei una maggiore manutenzione in generale e ai cambi in particolare;1
difficolta' nello sganciare ed agganciare le bici;-1
maggior manutenzione delle bici in particolare il cambio;1
Revisionare più frequentmente le biciclette. Spesso non funzionano bene;0
Aumentare la manutenzione delle biciclette ed estendere la rete;0
L'ampliamento di orario (già collaudato nei mesi estivi) ritengo sarebbe un valore aggiunto a basso costo;1
Migliorare la manutenzione, specialmente cambio velocità e pressione gomme;1
il mio spostamento piu' frequente e' dall'Arco della Pace al centro (principalmente Cordusio). se sono in ritardo e' facile trovare le colonnine piene e senza possibilita' di agganciare la bici. allo stesso tempo, diverse volte le colonnine dell'Arco nn hanno piu' bici al mattino se sono un po in ritardo. alcune volte le bici hanno problemi (con il sellino o con una gomma bucata). il resto e' perfetto.;-1
Occorrono più piste ciclabili, specie in area C. In alternativa, permettere di usare la bici sui marciapiedi. In assenza di tali provvedimenti, non rinnoverò l'abbonamento. Troppo rischiso circolare a fianco di auto e mezzi pesanti.;1
Possibilità di segnalare una bici difettosa direttamente dalla colonnina, al momento della restituzione.;-1
Pedalata troppo pesante, difficile e faticosa per le donne;-1
Sostituire le biciclette con modelli più leggeri. Molto apprezzabile l'attuale cambio meccanico interno che non sporca i pantaloni. Aumentare il numero di stazioni anche in centro, in alcune zone ci sono delle vere e proprie lacune. Estendere anche alla periferia continuando il percorso già intrapreso.;1
togliere il cambio nexus che crea problemi di manutenzione e adottare un equilibrato rapporto single speed;1
aumentare stazioni di noleggio;0
Il servizio va esteso. Andrebbero almeno raggiunti i campus Bicocca e Bovisa. Servono più stazioni perché attualmente l'area coperta è troppo limitata;-1
mail di reminder per rinnovo abbonamento;1
bisognerebbe aumentare il numero di stazioni e di stalli nel centro storico;-1
risolvere problema stazioni bikemi  piene nelle ore di punta;-1
Consiglio di controllare più spesso i cambi delle bike e le colonnine;-1
