u	v	w	x	y	z
-1.937643609	-1.937643609	-0.510592893	-0.551122018	-1.420910063	NA
-2.162294945	0.645162028	-0.270836796	1.283689076	-0.808070678	-0.754228189
-1.011267169	0.227136239	0.279405919	-0.110919855	0.71100776	-0.16103974
0.177889526	0.428986116	0.104899065	-0.10999235	0.048155847	0.404807297
1.700760669	-0.770708668	-0.234667343	-1.742122777	0.68775897	0.782997639
2.059779443	0.659518931	-0.465351611	-0.765287821	0.727943973	0.78375674
0.423129168	-0.676364704	0.022085015	2.374635787	-0.750531714	-0.339320208
-2.103840652	-0.826561151	0.124926219	0.412035216	-1.813305315	-1.870321715
-3.340759103	-1.136526837	-0.065100284	0.61587819	-1.397272436	-2.00177179
-5.486152058	-2.422314445	-0.658365586	0.369933185	-3.339899518	-4.002768525
-3.505483372	0.198275962	-0.886158643	-0.903274	-1.473079467	-2.175548857
-1.105788393	-1.400763708	-0.826055167	-0.661263574	-0.184988994	-1.54904863
-0.63467068	-2.670784439	-1.318863251	-0.741157011	-2.31619906	-2.057442415
-1.24888543	-3.199184046	-1.246931655	0.913508355	-2.582504716	-3.216496555
-0.579149768	0.633864042	-0.621947766	-0.190911721	-0.470756095	-1.540737452
-0.058046797	-1.357897844	-0.709666461	-1.584948676	0.119145577	-0.440234177
-0.360235534	-2.832611766	-0.588199526	1.220307477	-0.873949373	-0.671920768
-0.620574976	-2.78827233	-0.107472115	0.555977073	-0.750913254	-0.973954325
-0.702749718	0.296866612	0.132965973	0.695391161	-0.381918441	-0.764249313
0.407161548	-0.270259548	0.226835421	-0.56278222	0.658390261	0.512394021
0.700417602	-2.546190471	0.305288203	0.844961824	0.331942987	0.349239485
0.897676194	-1.888429709	0.312272655	-0.155562555	0.132112361	0.498126566
1.023624922	0.674199101	0.159807335	-0.571322259	0.693346927	0.604624621
-0.59775368	-1.413937889	-0.225912618	0.082158268	-0.870200893	-0.633600943
-0.84783166	-1.450942175	-0.088682882	0.403541094	-0.312287487	-0.273594119
-0.238054953	-1.149828304	-0.125481824	-1.477118032	0.800423114	0.289459519
1.558757799	1.790300862	0.244464582	0.870842448	1.521628178	1.868770598
2.567397791	-0.600900347	0.820131694	0.563920423	1.46845615	1.836555119
2.459367327	-0.691133303	0.588159037	-0.632583986	0.867307911	1.572316196
1.231984928	-0.841940054	0.153497933	-0.509878094	0.430137918	0.765705966
0.681581362	2.356997266	0.217912569	-0.014537763	0.983198519	1.229697126
-0.965038654	-1.401267116	-0.015146847	-0.304040738	-0.226979406	-0.049304625
-1.695758486	-0.613511789	-0.588411798	-1.28307829	-0.751015276	-0.426719014
-0.336137968	0.349693113	-0.188737406	0.473575565	0.977791296	0.508427104
3.494528702	4.596461137	0.677165123	-0.822184596	3.478297191	3.601481391
4.667294984	-0.882449729	0.766756951	-0.036809387	2.271711457	3.189963534
3.034930717	-0.610462604	0.296144717	-0.390685525	0.059269801	1.450486057
0.997168918	0.902113037	0.433262725	0.926673879	0.532618667	0.633952673
-1.648888454	2.956129256	0.516425503	0.680990274	-0.254270744	-0.220743548
-1.574895085	0.39582952	0.751444277	0.903176302	0.561009563	0.764032888
-0.704854509	-0.457572409	0.822190283	0.151102422	0.857139652	0.66188822
0.568327954	1.033417235	0.149663066	-1.502975183	0.334825061	0.890339364
0.91450578	2.104017484	-0.317084229	-0.353778425	-0.027090817	0.035067041
1.782822032	1.399908279	0.148420971	0.636339156	0.887580223	1.004310737
2.013593466	0.148303147	0.918177908	1.485841562	1.326794571	1.35883831
2.992910753	2.651307804	1.128447221	-0.747303056	2.210344821	2.829121314
1.498777007	1.000013517	0.416459932	-0.769671012	0.685230042	1.216096681
-0.039715573	1.376716169	0.106949786	0.500386921	-0.255610807	0.55419613
-2.214223997	-0.998778886	-0.316086975	-0.966567241	-0.924829245	-1.227911048
-2.916762564	1.833551574	-0.794303567	-0.590354733	-1.125560722	-1.16477916
-2.065939937	0.684229156	-0.535060827	0.266425005	-0.331402659	-0.933237562
-0.097297624	1.44146944	-0.143653022	0.034898381	0.253260262	0.092145679
2.224158194	0.095734278	-0.033089277	-1.039804359	1.149829766	1.142953413
5.212506516	3.942249605	-0.055190971	-2.513956098	3.146476387	3.450738247
3.934981132	-0.215732626	-0.31919286	-0.372435345	1.093440309	1.912130254
0.872448349	0.952401103	-0.581781875	-0.579526296	-0.773111412	0.350125368
-2.512793	-0.728656804	-0.688981676	-0.162878133	-0.955825063	-1.367499206
-4.171751546	2.608113583	-0.842350474	-0.671254556	-1.149619271	-1.370793129
-3.091107519	-0.016546865	-0.829898143	-0.817378335	-0.253225341	-0.737700369
-0.311239931	1.239783892	-0.324804713	0.411785706	0.594892436	0.345455271
0.415701032	-1.957511757	-0.192430314	0.542755511	-1.016189057	-0.866489988
-0.702838683	0.666942993	-0.161450664	1.824070488	-2.450487609	-2.417744051
-0.847352317	0.273807333	0.313429806	0.965957634	-0.77761608	-1.677841418
1.762016424	3.278679239	0.501426054	-1.910409489	2.502135745	1.835418532
3.162853333	-1.110722402	0.521601816	0.327114044	2.170426097	2.656976329
1.648120537	-0.380337572	0.541355809	1.410190732	-0.572426714	0.639292399
0.924859762	1.380158318	0.746947138	0.346925472	0.475693477	0.566253183
-0.031159159	2.635636893	0.614715992	-0.254154149	0.88352784	0.600748725
-1.211961274	-1.415746371	0.219634918	0.369444656	-0.517648323	0.064811928
-1.358075578	-0.229803518	0.121001926	0.096450364	-0.320909797	-0.393638314
-2.437449734	-0.552005278	-0.598419588	-1.116283795	-1.600282028	-1.852696271
-1.688320744	2.394475547	-1.034871783	-1.010681408	-0.956132917	-1.167319437
-1.204417028	-2.017244046	-0.533684134	1.399426279	-0.670172425	-1.455343486
-0.141162265	-0.061529167	0.065440986	0.7949951	-0.541171564	-0.53088559
0.856403036	-0.258898388	0.249747113	-0.048446354	0.27444107	-0.149535357
0.793877271	1.58296048	0.364189493	1.182476118	-0.195590582	-0.107027883
0.656479408	-1.310486429	0.715799472	1.151625167	0.053843839	0.095303763
-0.733457732	-1.014742265	0.46410785	0.22640421	-0.738037326	-0.858850984
-2.008097906	-0.875531751	-0.050145987	0.130905169	-1.39255224	-1.385725676
-1.325713508	1.83695195	0.089321973	0.317002597	0.069273785	-0.513747637
0.72964436	-0.133557107	-0.009899928	-1.843144623	1.34276971	1.094150725
0.785856948	-1.829509552	-0.288428243	0.626452693	-0.331591713	0.090924876
0.700702597	-0.43200009	-0.31191479	-0.626217548	-0.494861493	-0.190102836
